species,spawn_lake,spawn_stream,rear_lake,rear_lake_only,rear_no_fw,rear_stream,rear_wetland,rear_all_edges,river_skip_cw_min,spawn_requires_connected,spawn_connected_distance_max,rear_requires_connected,rear_connected_distance_max,notes
BT,no,yes,yes,no,no,yes,yes,no,no,,,,,"Cold headwaters with gravel substrate. Major lake-rearing populations in Babine Quesnel Kootenay Stuart. Tributary mouth spawning in mainstem rivers. Wetland rearing in beaver complexes and side channels."
CH,no,yes,yes,no,no,yes,yes,no,no,,,,,"Stream-type modelled. Ocean-type chinook outmigrate as fry within weeks; not modelled separately yet — investigate split. Some lake rearing (Cultus Pitt Stave). Spawning in mainstem rivers — large bodies need >=4m channels."
CM,no,yes,no,no,yes,no,no,no,no,,,,,"Spawn lower mainstem and side channels. Fry to estuary within days/weeks of emergence — may use side channels briefly before outmigration but classified as no freshwater rearing. Acceptable simplification — investigate if a fry-days dimension is needed."
CO,no,yes,yes,no,no,yes,yes,no,no,,,,,"Heavy use of off-channel wetlands and beaver complexes for overwintering. Smaller-tributary spawners primarily but river spawning is yes — investigate further."
PK,no,yes,no,no,yes,no,no,no,no,,,,,"Spawn lower mainstem. Fry to estuary within days of emergence — minimal stream rearing. Even shorter freshwater residency than CM. Classified as no freshwater rearing."
SK,yes,yes,yes,yes,no,no,no,no,no,rearing,3000,,,"Lake-obligate rearing — rear_lake_only is the override. Spawning requires connected rearing lake within 3km."
ST,no,yes,yes,no,no,yes,yes,no,no,,,,,"Spawn medium-large rivers — large bodies need >=4m channels. Lake-rearing populations exist. Wetland rearing yes."
WCT,no,yes,yes,no,no,yes,yes,no,no,,,,,"Lake-rearing common in Kootenay Slocan etc. Wetlands used for overwintering."
KO,yes,yes,yes,yes,no,no,no,no,no,rearing,3000,,,"Lake-obligate rearing — rear_lake_only is the override. Spawning requires connected rearing lake within 3km."
CT,no,yes,yes,no,no,yes,yes,no,no,,,,,"Resident form modelled. Anadromous form exists and uses estuaries — add separately later."
DV,no,yes,yes,no,no,yes,yes,no,no,,,,,"Some lake spawning exists but rare; classified as no. Lake-rearing common in coastal populations. Wetland rearing in beaver complexes and side channels."
RB,no,yes,yes,no,no,yes,yes,no,no,,,,,"Some lake spawning exists but rare; classified as no. Wetland and lake rearing common (Kamloops trout et al)."
GR,no,yes,yes,no,no,yes,no,no,no,,,,,"Lake rearing yes — northern populations use lakes."
