column,type,group,owner,consumed_by,default_when_absent,description,related
species_code,character,key,fresh,"fresh/R/frs_habitat_classify.R:165; fresh/R/frs_habitat.R:1160; R/lnk_barrier_overrides.R:140",required,"Species code matching the bundle's dimensions.csv and fresh's parameters_habitat_thresholds.csv. Row key - every consumer subsets parameters_fresh to a single row by this value before reading any other column.",-
access_gradient_max,numeric,access,fresh,"R/lnk_barriers_unify.R:139; R/lnk_pipeline_prepare.R:553; fresh/R/frs_habitat_classify.R:169",required,"Maximum stream gradient the species can ascend, as a proportion (0.25 = 25%). Link derives per-species gradient-barrier membership from it - a gradient class blocks species s when class_value >= s access_gradient_max. Fresh uses it as the access threshold when segmenting. The one column both packages read directly.",-
spawn_gradient_min,numeric,gradient,fresh,"fresh/R/frs_habitat_classify.R:171; fresh/R/frs_habitat_predicates.R:87",0,"Lower gradient bound for spawning habitat - excludes depositional reaches. The default bundle sets 0.0025; the bcfishpass bundle uses 0 (no lower bound), which is one of the documented method departures between the two.",-
rear_gradient_min,numeric,gradient,fresh,(none - unused),not read,"UNUSED. Present in fresh's canonical header and in every link bundle, but read by no code in either package as of link v0.44.2 / fresh v0.32.0. Retained rather than dropped because fresh owns this schema - removal is a fresh-side decision, not link's.",-
cluster_rearing,logical,cluster,fresh,"fresh/R/frs_habitat.R:1164 (link passes the frame at R/lnk_pipeline_connect.R:107)",FALSE,"Enables rearing-cluster connectivity validation. When TRUE fresh calls frs_cluster() with label_cluster=rearing and label_connect=spawning: adjacent rearing segments are grouped, and any cluster with no spawning reachable in the configured direction has rearing set FALSE. A headwater reach with perfect rearing conditions but no reachable spawning is a dead end.",-
cluster_direction,enum:upstream/downstream/both,cluster,fresh,"fresh/R/frs_habitat.R:1165 (link passes the frame at R/lnk_pipeline_connect.R:107)",upstream,"Direction from a rearing cluster in which spawning must exist for the cluster to survive. Only honoured when cluster_rearing is TRUE.",-
cluster_bridge_gradient,numeric,cluster,fresh,"fresh/R/frs_habitat.R:1166 (link passes the frame at R/lnk_pipeline_connect.R:107)",0.05,"Maximum gradient on any single segment between a rearing cluster and the spawning it connects to. Applied segment-by-segment along the downstream trace; the upstream check is boolean with no gradient constraint, because the branching network makes path ordering unreliable.",-
cluster_bridge_distance,numeric,cluster,fresh,"fresh/R/frs_habitat.R:1167 (link passes the frame at R/lnk_pipeline_connect.R:107)",10000,"Maximum cumulative network distance in metres searched downstream for connecting spawning habitat.",-
cluster_confluence_m,numeric,cluster,fresh,"fresh/R/frs_habitat.R:1168 (link passes the frame at R/lnk_pipeline_connect.R:107)",10,"Confluence tolerance in metres. When a cluster's most-downstream point falls within this distance of a confluence, the upstream check also considers the parent stream.",-
cluster_spawning,logical,cluster,fresh,"fresh/R/frs_habitat.R:1183 (link passes the frame at R/lnk_pipeline_connect.R:107)",FALSE,"Enables spawn-cluster connectivity validation. Two conditions must both hold: this flag TRUE, and the species' spawn rules carrying requires_connected in rules.yaml. Used by SK and KO, where spawning is credited only within reach of rearing lakes.",-
cluster_spawn_direction,enum:upstream/downstream/both,cluster,fresh,"fresh/R/frs_habitat.R:1228 (link passes the frame at R/lnk_pipeline_connect.R:107)",both,"Direction from a spawn cluster in which the connected target (rearing) must exist. Only honoured when cluster_spawning fires.",-
cluster_spawn_bridge_gradient,numeric,cluster,fresh,"fresh/R/frs_habitat.R:1195 (link passes the frame at R/lnk_pipeline_connect.R:107)",0.05,"Per-segment gradient cap on the trace between spawning and the rearing it requires.",-
cluster_spawn_bridge_distance,numeric,cluster,fresh,"fresh/R/frs_habitat.R:1197 (link passes the frame at R/lnk_pipeline_connect.R:107)",3000,"Maximum network distance in metres between spawning and its required rearing. OVERRIDDEN when the spawn rule carries connected_distance_max in rules.yaml - the YAML value wins and this column is not consulted. Only reached as the fallback.",-
cluster_spawn_confluence_m,numeric,cluster,fresh,"fresh/R/frs_habitat.R:1230 (link passes the frame at R/lnk_pipeline_connect.R:107)",10,"Confluence tolerance in metres for the spawn-side cluster check. Same semantics as cluster_confluence_m, applied to the spawning cluster.",-
observation_threshold,positive_integer,observation,link,R/lnk_barrier_overrides.R:141,no override (0),"Minimum count of qualifying fish observations upstream of a barrier before that barrier is overridden - written to the barrier-skip table that fresh consults during access gating. Fish were seen up there, so the barrier evidently is not one. 1 for residents (BT, WCT), 5 for anadromous.",-
observation_date_min,date,observation,link,R/lnk_barrier_overrides.R:143,1900-01-01,"Earliest observation_date that counts toward the threshold. Anadromous species use 1990-01-01 to exclude historic records predating current barrier configurations; WCT uses 1900-01-01 (effectively no cutoff).",-
observation_buffer_m,numeric,observation,link,R/lnk_barrier_overrides.R:145,20,"Tolerance in metres passed to fwa_upstream() when testing whether an observation lies upstream of a barrier position.",-
observation_species,semicolon_list,observation,link,R/lnk_barrier_overrides.R:147,the row's own species_code,"Semicolon-separated observation species codes counting toward this species' threshold. Lets a group pool sightings - the anadromous rows share CH;CM;CO;PK;SK, so a Coho sighting can override a barrier for Chinook. Residents list only themselves (WCT) or a close pair (BT uses BT;DV).",-
observation_control_apply,yes_no,observation,link,R/lnk_barrier_overrides.R:156,FALSE,"Whether the barrier-control table can veto an observation-based override for this species. When TRUE a user_barriers_definite_control row with barrier_ind=TRUE blocks the override at that position. TRUE for anadromous (CH CM CO PK SK ST GR KO); FALSE for residents (BT WCT) which routinely inhabit reaches above anadromous-blocking falls - post-glacial headwater connectivity, no ocean-return requirement. Habitat confirmations bypass control entirely for every species. Mirrors bcfishpass per-model SQL: model_access_bt.sql has no control join.",fresh#129
