column,type,group,applies_to,default_when_absent,description,emits,related
species,character,key,both,required,"Species code matching fresh's parameters_habitat_thresholds.csv (BT, CH, CO, ST, WCT, SK, KO, PK, CM, RB, CT, DV, GR). Row key.",-,-
spawn_lake,yes_no,biology,spawn,no,"Does the species spawn in lakes? When yes, lnk_rules_build emits a `waterbody_type: L` rule under spawn:.","waterbody_type: L (spawn)",-
spawn_stream,yes_no,biology,spawn,no,"Does the species spawn in streams? When yes, lnk_rules_build emits the stream-edge rule (edge_types_explicit: [1000, 1100, 2000, 2300]) plus the river polygon rule (waterbody_type: R) under spawn:.","edge_types_explicit + waterbody_type: R (spawn)",-
spawn_stream_in_waterbody,yes_no,rule_emission,spawn,yes,"Should the spawn-stream rule fire on segments INSIDE a waterbody polygon (waterbody_key non-null)? `no` emits `in_waterbody: false` so the stream rule matches only outside-polygon segments - strict partition that pairs with the polygon rules. `yes` (or absent) omits the field; rule matches both inside and outside polygons.",in_waterbody: false (when no),fresh#180
rear_lake,yes_no,biology,rear,no,"Does the species rear in lakes? When yes (and not rear_lake_only / rear_no_fw), lnk_rules_build emits a `waterbody_type: L` rule with edge_types_explicit: [1000, 1100] mainlines filter + lake_ha_min from rear_lake_ha_min or fresh thresholds.","waterbody_type: L + edge filter (rear, additive branch)",-
rear_lake_only,yes_no,biology,rear,no,"Override: this species ONLY rears in lakes. When yes, lnk_rules_build emits a single `waterbody_type: L` rule under rear:, no edge filter, no other rules. Used by SK, KO. lake_ha_min still honoured.","waterbody_type: L only (rear)",-
rear_lake_area_only,yes_no,rule_emission,rear,no,"When yes, emits `area_only: true` on the L polygon rule. fresh derives the lake_rearing bucket flag but excludes the rule from the main rear predicate. Linear `rearing_km` excludes polygon segments; `lake_rearing_ha` still rolls up. Only honoured in the additive rear branch - rear_lake_only ignores this column (the L rule there IS the rear classification).",area_only: true on L rule,fresh#182
rear_no_fw,yes_no,biology,rear,no,"Override: species has no freshwater rearing (CM, PK). When yes, all rear rules are dropped. Higher precedence than rear_lake / rear_stream / etc.",rear: [] (empty),-
rear_stream,yes_no,biology,rear,no,"Does the species rear in streams? When yes (and not rear_lake_only / rear_no_fw), lnk_rules_build emits the stream-edge rule + the river polygon rule under rear:.","edge_types_explicit + waterbody_type: R (rear)",-
rear_stream_in_waterbody,yes_no,rule_emission,rear,yes,"Should the rear-stream rule fire on segments INSIDE a waterbody polygon? Same shape as spawn_stream_in_waterbody. `no` emits `in_waterbody: false` (strict partition matching bcfishpass's per-species access SQL). `yes` (or absent) is permissive - counts polygon-mainlines as rearing.",in_waterbody: false (when no),fresh#180
rear_wetland,yes_no,biology,rear,no,"Does the species rear in wetland-flow segments? When yes, lnk_rules_build emits the 1050/1150 stream-flow carve-out (edge_types_explicit: [1050, 1150], thresholds: false) under rear:. The W polygon rule is gated separately by rear_wetland_polygon.","edge_types_explicit: [1050, 1150] (rear)",-
