species,spawn_lake,spawn_stream,rear_lake,rear_lake_only,rear_no_fw,rear_stream,rear_wetland,rear_wetland_polygon,rear_all_edges,river_skip_cw_min,rear_stream_order_bypass,spawn_requires_connected,spawn_connected_distance_max,spawn_connected_direction,spawn_connected_gradient_max,spawn_connected_cw_min,spawn_connected_edge_types,rear_requires_connected,rear_connected_distance_max,rear_lake_ha_min,rear_wetland_ha_min,notes
BT,no,yes,yes,no,no,yes,yes,no,no,yes,no,,,,,,,,,10,1,"Cold headwaters with gravel substrate. Major lake-rearing populations in Babine Quesnel Kootenay Stuart. Tributary mouth spawning in mainstem rivers. Wetland rearing in beaver complexes and side channels. rear_lake_ha_min=10 — tolerates small lakes. rear_wetland_ha_min=1 — small wetlands count."
CH,no,yes,yes,no,no,yes,yes,no,no,yes,no,,,,,,,,,100,1,"Stream-type modelled. Ocean-type chinook outmigrate as fry within weeks; not modelled separately yet — investigate split. Some lake rearing (Cultus Pitt Stave). Spawning in mainstem rivers — large bodies need >=4m channels. rear_lake_ha_min=100 — Cultus/Pitt/Stave class systems. rear_wetland_ha_min=1."
CM,no,yes,no,no,yes,no,no,no,no,yes,no,,,,,,,,,,,"Spawn lower mainstem and side channels. Fry to estuary within days/weeks of emergence — may use side channels briefly before outmigration but classified as no freshwater rearing. Acceptable simplification — investigate if a fry-days dimension is needed."
CO,no,yes,yes,no,no,yes,yes,no,no,yes,no,,,,,,,,,2,0.5,"Heavy use of off-channel wetlands and beaver complexes for overwintering. Smaller-tributary spawners primarily but river spawning is yes — investigate further. rear_lake_ha_min=2 — uses small lakes + ponds extensively. rear_wetland_ha_min=0.5 — beaver complexes are small."
PK,no,yes,no,no,yes,no,no,no,no,yes,no,,,,,,,,,,,"Spawn lower mainstem. Fry to estuary within days of emergence — minimal stream rearing. Even shorter freshwater residency than CM. Classified as no freshwater rearing."
SK,no,yes,yes,yes,no,no,no,no,no,yes,no,rearing,3000,downstream,0.05,0,,,,200,,"Stream-spawning sockeye. Lake-obligate rearing — rear_lake_only is the override. Spawning within 3km downstream of connected rearing lake (outlet stream). Beach-spawning shoreline populations exist (e.g. Babine, Shuswap) but are a separate phenotype not modelled here — matches bcfishpass convention."
ST,no,yes,yes,no,no,yes,yes,no,no,yes,no,,,,,,,,,60,1,"Spawn medium-large rivers — large bodies need >=4m channels. Lake-rearing populations exist. Wetland rearing yes. rear_lake_ha_min=60 — ocean-typed; smaller lakes less likely. rear_wetland_ha_min=1."
WCT,no,yes,yes,no,no,yes,yes,no,no,yes,no,,,,,,,,,10,1,"Lake-rearing common in Kootenay Slocan etc. Wetlands used for overwintering. rear_lake_ha_min=10 — tolerates small resident-population lakes. rear_wetland_ha_min=1."
KO,no,yes,yes,yes,no,no,no,no,no,yes,no,rearing,3000,downstream,0.05,0,,,,200,,"Stream-spawning kokanee. Lake-obligate rearing — rear_lake_only is the override. Spawning within 3km downstream of connected rearing lake (outlet stream). Some populations spawn on lake shoreline beaches — separate phenotype not modelled here."
CT,no,yes,yes,no,no,yes,yes,no,no,yes,no,,,,,,,,,10,1,"Resident form modelled. Anadromous form exists and uses estuaries — add separately later. rear_lake_ha_min=10 — resident coastal cutthroat in small lakes. rear_wetland_ha_min=1."
DV,no,yes,yes,no,no,yes,yes,no,no,yes,no,,,,,,,,,10,1,"Some lake spawning exists but rare; classified as no. Lake-rearing common in coastal populations. Wetland rearing in beaver complexes and side channels. rear_lake_ha_min=10 — coastal populations in small lakes. rear_wetland_ha_min=1."
RB,no,yes,yes,no,no,yes,yes,no,no,yes,no,,,,,,,,,10,1,"Some lake spawning exists but rare; classified as no. Wetland and lake rearing common (Kamloops trout et al). rear_lake_ha_min=10 — residents use a wide size range of lakes. rear_wetland_ha_min=1."
GR,no,yes,yes,no,no,yes,no,no,no,yes,no,,,,,,,,,40,,"Lake rearing yes — northern populations use lakes. rear_lake_ha_min=40 — northern systems tend to be larger."
